BeamType;X_Pos;SuppL_Pos;SuppR_Pos;Calc_factor;Calc_const;Finger_pressed;Press_Distance;Press_force;Deviation_Finger_1(Right);Deviation_Finger_2;Deviation_Finger_3;Deviation_Finger_4;Deviation_Finger_5;Deviation_Finger_6;Deviation_Finger_7;Deviation_Finger_8;Note
CF500 SL2 (21/112) 130057;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.001;1.078919;1.967675;2.489213;1.730626;0.5699545;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130057;1258.967;199.9806;198.0023;0.9;5.2;4;287.6841;288.2785;0.001;-0.5870738;-1.320892;-1.80458;-1.670696;-1.089179;0.001;0.001;
CF500 SL2 (21/112) 130057;1258.967;199.9806;198.0023;0.9;5.2;4;287.6841;288.2785;0.001;1.108388;2.03159;2.559186;1.930665;0.6659552;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130057;1258.967;199.9817;198.0004;0.9;5.2;4;288.0031;290.3965;0.001;-0.6689448;-1.517017;-2.032253;-1.698276;-1.127601;0.001;0.001;
CF500 SL2 (21/112) 130057;1258.967;199.9817;198.0004;0.9;5.2;4;288.0031;290.3965;0.001;1.264958;2.238534;2.82261;2.130124;0.8671995;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130057;1260.18;199.9814;198.0003;0.9;5.2;4;287.9895;298.3322;0.001;-0.4848246;-1.25568;-1.787124;-1.542568;-0.9560961;0.001;0.001;
CF500 SL2 (21/112) 130057;1260.18;199.9814;198.0003;0.9;5.2;4;287.9895;298.3322;0.001;0.8519102;1.678334;2.243142;1.573319;0.5966345;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130057;1260.18;199.9814;198.0003;0.9;5.2;4;287.5429;284.2599;0.001;-0.6547885;-1.282455;-1.643749;-1.533706;-0.9047083;0.001;0.001;
CF500 SL2 (21/112) 130057;1260.18;199.9814;198.0003;0.9;5.2;4;287.5429;284.2599;0.001;1.5547;2.960229;3.715493;2.911408;1.354165;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130057;1258.34;199.9813;198.0003;0.9;5.2;4;288.8704;321.7942;0.001;-0.8529391;-1.766788;-2.494644;-1.997631;-1.088191;0.001;0.001;
CF500 SL2 (21/112) 130057;1258.34;199.9813;198.0003;0.9;5.2;4;288.8704;321.7942;0.001;1.058152;1.933423;2.541386;1.781102;0.641091;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130057;1257.896;199.9811;198.0001;0.9;5.2;4;287.9292;296.8678;0.001;-0.6836924;-1.496131;-2.004581;-1.843318;-1.129966;0.001;0.001;
CF500 SL2 (21/112) 130057;1257.896;199.9811;198.0001;0.9;5.2;4;287.9292;296.8678;0.001;1.253205;2.262719;2.834885;2.056019;0.8807188;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130057;1257.983;199.9811;198.0001;0.9;5.2;4;287.8605;300.0021;0.001;-0.4955363;-1.209236;-1.710357;-1.549095;-0.8932528;0.001;0.001;
CF500 SL2 (21/112) 130057;1257.983;199.9811;198.0001;0.9;5.2;4;287.8605;300.0021;0.001;0.7850653;1.706799;2.452893;1.670441;0.5381628;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130057;1258.83;199.9811;198.0001;0.9;5.2;4;287.4632;289.2685;0.001;-0.7540354;-1.319152;-1.55619;-1.510475;-1.011802;0.001;0.001;
CF500 SL2 (21/112) 130057;1258.83;199.9811;198.0001;0.9;5.2;4;287.4632;289.2685;0.001;1.080231;2.062317;2.688393;1.877484;0.6462103;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130057;1257.838;199.9811;198.0003;0.9;5.2;4;288.0584;301.1153;0.001;-0.7416224;-1.619449;-2.070106;-1.81351;-1.191635;0.001;0.001;
CF500 SL2 (21/112) 130056;1257.838;199.9811;198.0003;0.9;5.2;4;288.0584;301.1153;0.001;1.362;2.490868;2.639603;2.107571;0.9214445;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130056;1257.983;199.9813;197.9999;0.9;5.2;4;288.4794;295.1937;0.001;-0.10433905;-0.5148043;-1.283561;-1.000736;-0.6048655;0.001;0.001;
CF500 SL2 (21/112) 130056;1597.669;335.4862;197.9999;0.7;3.3;3;283.6206;153.0203;0.001;-0.3590121;-0.9800448;-1.617797;-1.242366;-0.7008738;0.001;0.001;
CF500 SL2 (21/112) 130056;1597.669;335.4862;197.9999;0.7;3.3;3;283.6206;153.0203;0.001;-0.3590121;-0.9800448;-1.617797;-1.242366;-0.7008738;0.001;0.001;within limits
CF500 SL2 (21/112) 130056;1597.669;335.4862;197.9999;0.7;3.3;3;283.6206;153.0203;0.001;1.466225;2.223988;2.41763;1.841599;0.8435674;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130056;1264.031;200.014;198.0001;0.9;5.2;4;288.4588;299.7211;0.001;-0.1767725;-1.058982;-1.839939;-1.499244;-0.8131632;0.001;0.001;
CF500 SL2 (21/112) 130056;1595.052;335.4862;197.9999;0.7;3.3;3;283.6172;143.911;0.001;-0.4085993;-1.494609;-2.184543;-1.75743;-0.8910288;0.001;0.001;
